Ref,Val,Package,PosX,PosY,Rot,Side
"C3","CAP_100nF_50V_0402","C_0402_1005Metric",172.000000,-79.500000,270.000000,bottom
"C4","CAP_100nF_50V_0402","C_0402_1005Metric",162.500000,-79.500000,270.000000,bottom
"C5","CAP_2.2uF_16V_0402","C_0402_1005Metric",157.500000,-95.400000,0.000000,bottom
"C6","CAP_2.2uF_16V_0402","C_0402_1005Metric",173.700000,-96.000000,90.000000,bottom
"C29","CAP_100nF_50V_0402","C_0402_1005Metric",157.500000,-96.400000,0.000000,bottom
"C32","CAP_100nF_50V_0402","C_0402_1005Metric",159.000000,-79.500000,270.000000,bottom
"C34","CAP_100nF_50V_0402","C_0402_1005Metric",174.000000,-79.000000,180.000000,bottom
"C35","CAP_100nF_50V_0402","C_0402_1005Metric",166.500000,-79.500000,270.000000,bottom
"C37","CAP_2.2uF_16V_0402","C_0402_1005Metric",185.430793,-127.201850,90.000000,bottom
"C39","CAP_100nF_50V_0402","C_0402_1005Metric",174.100000,-90.500000,180.000000,bottom
"C40","CAP_100nF_50V_0402","C_0402_1005Metric",160.000000,-79.500000,270.000000,bottom
"C41","CAP_100nF_50V_0402","C_0402_1005Metric",157.000000,-79.500000,90.000000,bottom
"C42","CAP_100nF_50V_0402","C_0402_1005Metric",167.900000,-96.000000,90.000000,bottom
"C43","CAP_100nF_50V_0402","C_0402_1005Metric",157.500000,-85.900000,0.000000,bottom
"C44","CAP_100nF_50V_0402","C_0402_1005Metric",162.500000,-96.000000,90.000000,bottom
"C47","CAP_100nF_50V_0402","C_0402_1005Metric",157.500000,-91.300000,0.000000,bottom
"C48","CAP_100nF_50V_0402","C_0402_1005Metric",174.000000,-85.750000,180.000000,bottom
"C49","CAP_10uF_25V_0805","C_0805_2012Metric",157.574247,-133.388323,90.000000,bottom
"C50","CAP_100nF_50V_0402","C_0402_1005Metric",158.000000,-79.500000,270.000000,bottom
"C53","CAP_2.2uF_16V_0402","C_0402_1005Metric",158.000000,-136.250000,270.000000,bottom
"C54","CAP_22uF_10V_0805","C_0805_2012Metric",180.221947,-56.758511,180.000000,bottom
"C56","CAP_2.2uF_16V_0402","C_0402_1005Metric",159.574247,-137.888323,180.000000,bottom
"C57","CAP_2.2uF_16V_0402","C_0402_1005Metric",161.324247,-137.888323,0.000000,bottom
"C63","CAP_100nF_50V_0402","C_0402_1005Metric",133.300000,-95.900000,0.000000,bottom
"C70","CAP_100nF_50V_0402","C_0402_1005Metric",133.300000,-96.900000,180.000000,bottom
"C73","CAP_2.2uF_16V_0402","C_0402_1005Metric",63.500000,-29.250000,270.000000,bottom
"C74","CAP_2.2uF_16V_0402","C_0402_1005Metric",118.300000,-32.587500,270.000000,bottom
"C75","CAP_2.2uF_16V_0402","C_0402_1005Metric",130.500000,-32.600000,270.000000,bottom
"C76","CAP_2.2uF_16V_0402","C_0402_1005Metric",142.750000,-32.750000,90.000000,bottom
"C77","CAP_2.2uF_16V_0402","C_0402_1005Metric",118.800000,-145.400000,270.000000,bottom
"C78","CAP_2.2uF_16V_0402","C_0402_1005Metric",106.500000,-145.400000,270.000000,bottom
"C79","CAP_2.2uF_16V_0402","C_0402_1005Metric",81.100000,-148.500000,90.000000,bottom
"C80","CAP_2.2uF_16V_0402","C_0402_1005Metric",131.000000,-145.400000,270.000000,bottom
"C81","CAP_2.2uF_16V_0402","C_0402_1005Metric",138.700000,-87.950000,180.000000,bottom
"C83","CAP_100nF_50V_0402","C_0402_1005Metric",132.250000,-48.000000,-0.000000,bottom
"C85","CAP_2.2uF_16V_0402","C_0402_1005Metric",132.300000,-120.400000,0.000000,bottom
"C86","CAP_100nF_50V_0402","C_0402_1005Metric",225.050000,-67.350000,180.000000,bottom
"C90","CAP_0.022uF_100V_0603","C_0603_1608Metric",132.900000,-119.000000,180.000000,bottom
"C95","CAP_100nF_50V_0402","C_0402_1005Metric",210.500000,-64.350000,180.000000,bottom
"C114","CAP_100nF_50V_0402","C_0402_1005Metric",215.000000,-70.500000,180.000000,bottom
"C117","CAP_100nF_50V_0402","C_0402_1005Metric",225.050000,-69.350000,180.000000,bottom
"C118","CAP_100nF_50V_0402","C_0402_1005Metric",210.500000,-66.400000,180.000000,bottom
"C119","CAP_100nF_50V_0402","C_0402_1005Metric",225.050000,-62.850000,0.000000,bottom
"C123","CAP_100nF_100V_0603","C_0603_1608Metric",123.823227,-63.654860,90.000000,bottom
"C124","CAP_100nF_100V_0603","C_0603_1608Metric",123.900000,-130.600000,90.000000,bottom
"C145","CAP_100nF_100V_0603","C_0603_1608Metric",123.808313,-67.152770,90.000000,bottom
"C146","CAP_100nF_100V_0603","C_0603_1608Metric",123.900000,-134.200000,90.000000,bottom
"C147","CAP_2.2uF_16V_0402","C_0402_1005Metric",100.100000,-148.700000,270.000000,bottom
"C148","CAP_2.2uF_16V_0402","C_0402_1005Metric",93.400000,-34.600000,270.000000,bottom
"C149","CAP_100nF_100V_0603","C_0603_1608Metric",124.058313,-70.752770,90.000000,bottom
"C150","CAP_100nF_100V_0603","C_0603_1608Metric",123.900000,-137.800000,90.000000,bottom
"C151","CAP_100nF_50V_0402","C_0402_1005Metric",217.800000,-60.500000,90.000000,bottom
"C156","CAP_100nF_50V_0402","C_0402_1005Metric",167.500000,-79.500000,90.000000,bottom
"C157","CAP_100nF_50V_0402","C_0402_1005Metric",165.500000,-75.250000,180.000000,bottom
"C159","CAP_2.2uF_16V_0402","C_0402_1005Metric",183.600000,-31.700000,90.000000,bottom
"C160","CAP_2.2uF_16V_0402","C_0402_1005Metric",211.900000,-32.500000,270.000000,bottom
"C161","CAP_2.2uF_16V_0402","C_0402_1005Metric",224.100000,-32.500000,270.000000,bottom
"C162","CAP_2.2uF_16V_0402","C_0402_1005Metric",155.600000,-31.700000,90.000000,bottom
"C163","CAP_2.2uF_16V_0402","C_0402_1005Metric",167.800000,-31.700000,90.000000,bottom
"C164","CAP_2.2uF_16V_0402","C_0402_1005Metric",199.600000,-32.500000,270.000000,bottom
"C170","CAP_2.2uF_16V_0402","C_0402_1005Metric",180.821947,-62.558511,180.000000,bottom
"D1","D_BAT54S","SOT-23",169.207757,-44.388795,0.000000,bottom
"D2","D_BAT54S","SOT-23",169.207757,-39.288795,0.000000,bottom
"D3","D_BAT54S","SOT-23",196.557757,-39.588795,180.000000,bottom
"D4","D_BAT54S","SOT-23",196.557757,-44.688795,180.000000,bottom
"D5","D_BAT54S","SOT-23",162.707757,-40.388795,180.000000,bottom
"D6","D_BAT54S","SOT-23",162.707757,-44.088795,180.000000,bottom
"D7","D_BAT54S","SOT-23",202.878079,-44.738795,0.000000,bottom
"D8","D_BAT54S","SOT-23",202.857757,-39.588795,0.000000,bottom
"D17","D_BAT54S","SOT-23",133.900000,-91.500000,180.000000,bottom
"D19","D_BAT54S","SOT-23",126.323227,-63.500000,180.000000,bottom
"D20","D_BAT54S","SOT-23",126.400000,-130.600000,180.000000,bottom
"D21","D_BAT54S","SOT-23",126.308313,-67.152770,180.000000,bottom
"D22","D_BAT54S","SOT-23",126.400000,-134.200000,180.000000,bottom
"D24","D_TPD3E001","SOT-23-5",168.500000,-84.000000,180.000000,bottom
"D25","D_BAT54S","SOT-23",126.558313,-70.752770,180.000000,bottom
"D26","D_BAT54S","SOT-23",126.400000,-137.800000,180.000000,bottom
"D32","D_BAT54","D_SOD-123",179.500000,-54.500000,180.000000,bottom
"FB2","LB_220R_2A_0603","L_0603_1608Metric",225.550000,-65.850000,0.000000,bottom
"FB3","LB_220R_2A_0603","L_0603_1608Metric",225.550000,-64.350000,0.000000,bottom
"R1","RES_10K_1%_0402","R_0402_1005Metric",174.000000,-81.750000,0.000000,bottom
"R2","RES_10K_1%_0402","R_0402_1005Metric",171.850000,-44.400000,0.000000,bottom
"R3","RES_10K_1%_0402","R_0402_1005Metric",171.800000,-39.300000,0.000000,bottom
"R4","RES_10K_1%_0402","R_0402_1005Metric",194.000000,-39.588795,180.000000,bottom
"R5","RES_10K_1%_0402","R_0402_1005Metric",193.957757,-44.688795,180.000000,bottom
"R6","RES_10K_1%_0402","R_0402_1005Metric",160.107757,-40.388795,180.000000,bottom
"R7","RES_10K_1%_0402","R_0402_1005Metric",160.100000,-44.100000,180.000000,bottom
"R8","RES_10K_1%_0402","R_0402_1005Metric",205.478079,-44.788795,0.000000,bottom
"R9","RES_10K_1%_0402","R_0402_1005Metric",205.495257,-39.588795,0.000000,bottom
"R36","RES_3K_1%_0402","R_0402_1005Metric",174.000000,-82.750000,180.000000,bottom
"R43","RES_10K_1%_0402","R_0402_1005Metric",148.750000,-88.500000,180.000000,bottom
"R44","RES_10K_1%_0402","R_0402_1005Metric",148.750000,-89.500000,180.000000,bottom
"R45","RES_3K_1%_0402","R_0402_1005Metric",174.000000,-80.750000,180.000000,bottom
"R50","RES_470R_1%_0402","R_0402_1005Metric",203.180793,-134.064350,270.000000,bottom
"R60","RES_10K_1%_0402","R_0402_1005Metric",157.500000,-84.900000,0.000000,bottom
"R68","RES_137K_1%_0402","R_0402_1005Metric",133.300000,-94.900000,180.000000,bottom
"R69","RES_5K_1%_0402","R_0402_1005Metric",133.300000,-93.900000,180.000000,bottom
"R77","RES_12.1K_1%_0402","R_0402_1005Metric",225.050000,-68.350000,0.000000,bottom
"R84","RES_10K_1%_0402","R_0402_1005Metric",165.000000,-79.500000,270.000000,bottom
"R85","RES_10K_1%_0402","R_0402_1005Metric",160.500000,-96.000000,90.000000,bottom
"R86","RES_10K_1%_0402","R_0402_1005Metric",164.000000,-79.500000,270.000000,bottom
"R87","RES_10K_1%_0402","R_0402_1005Metric",174.100000,-89.500000,180.000000,bottom
"R108","RES_10K_1%_0402","R_0402_1005Metric",215.300000,-60.500000,270.000000,bottom
"R110","RES_10K_1%_0402","R_0402_1005Metric",216.300000,-60.500000,270.000000,bottom
"R117","RES_137K_1%_0402","R_0402_1005Metric",122.523227,-63.604860,270.000000,bottom
"R118","RES_10K_1%_0402","R_0402_1005Metric",121.523227,-63.604860,270.000000,bottom
"R119","RES_137K_1%_0402","R_0402_1005Metric",122.600000,-130.600000,270.000000,bottom
"R120","RES_10K_1%_0402","R_0402_1005Metric",121.600000,-130.600000,270.000000,bottom
"R156","RES_137K_1%_0402","R_0402_1005Metric",122.558313,-67.152770,270.000000,bottom
"R157","RES_10K_1%_0402","R_0402_1005Metric",121.558313,-67.152770,270.000000,bottom
"R158","RES_137K_1%_0402","R_0402_1005Metric",122.600000,-134.200000,270.000000,bottom
"R159","RES_10K_1%_0402","R_0402_1005Metric",121.600000,-134.200000,270.000000,bottom
"R163","RES_5K_1%_0402","R_0402_1005Metric",157.250000,-74.250000,270.000000,bottom
"R164","RES_5K_1%_0402","R_0402_1005Metric",171.750000,-84.500000,0.000000,bottom
"R165","RES_5K_1%_0402","R_0402_1005Metric",153.250000,-74.250000,270.000000,bottom
"R166","RES_5K_1%_0402","R_0402_1005Metric",171.750000,-81.750000,0.000000,bottom
"R167","RES_5K_1%_0402","R_0402_1005Metric",155.250000,-74.250000,270.000000,bottom
"R168","RES_5K_1%_0402","R_0402_1005Metric",165.480000,-85.040000,180.000000,bottom
"R183","RES_10K_1%_0402","R_0402_1005Metric",158.250000,-74.250000,270.000000,bottom
"R184","RES_10K_1%_0402","R_0402_1005Metric",156.250000,-74.250000,270.000000,bottom
"R185","RES_10K_1%_0402","R_0402_1005Metric",154.250000,-74.250000,270.000000,bottom
"R186","RES_10K_1%_0402","R_0402_1005Metric",171.750000,-82.750000,0.000000,bottom
"R187","RES_10K_1%_0402","R_0402_1005Metric",171.750000,-85.500000,0.000000,bottom
"R188","RES_10K_1%_0402","R_0402_1005Metric",165.480000,-86.040000,180.000000,bottom
"R189","RES_137K_1%_0402","R_0402_1005Metric",122.558313,-70.702770,270.000000,bottom
"R190","RES_10K_1%_0402","R_0402_1005Metric",121.558313,-70.702770,270.000000,bottom
"R191","RES_137K_1%_0402","R_0402_1005Metric",121.565001,-137.800000,270.000000,bottom
"R192","RES_10K_1%_0402","R_0402_1005Metric",122.600000,-137.800000,270.000000,bottom
"R203","RES_10K_1%_0402","R_0402_1005Metric",133.300000,-97.900000,0.000000,bottom
"R204","RES_10K_1%_0402","R_0402_1005Metric",133.300000,-98.900000,180.000000,bottom
"R205","RES_10K_1%_0402","R_0402_1005Metric",123.700000,-96.900000,180.000000,bottom
"R206","RES_10K_1%_0402","R_0402_1005Metric",123.700000,-97.900000,0.000000,bottom
"R207","RES_10K_1%_0402","R_0402_1005Metric",123.700000,-95.900000,180.000000,bottom
"R208","RES_10K_1%_0402","R_0402_1005Metric",123.700000,-94.900000,0.000000,bottom
"R232","RES_NOFIT_0402","R_0402_1005Metric",138.700000,-86.950000,0.000000,bottom
"R233","RES_NOFIT_0402","R_0402_1005Metric",138.700000,-90.450000,180.000000,bottom
"R234","RES_NOFIT_0402","R_0402_1005Metric",148.750000,-87.500000,180.000000,bottom
"R235","RES_NOFIT_0402","R_0402_1005Metric",148.750000,-90.500000,180.000000,bottom
"R239","RES_270R_1%_0402","R_0402_1005Metric",205.750000,-63.750000,270.000000,bottom
"R240","RES_270R_1%_0402","R_0402_1005Metric",204.750000,-63.750000,270.000000,bottom
"U20","IC_TLV75533","SOT-23-5",180.221947,-59.958511,90.000000,bottom
"U21","IC_LP55231","WQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_Thermal",161.324247,-134.388323,0.000000,bottom
"U25","IC_MIC2026","SOIC-8_3.9x4.9mm_P1.27mm",143.700000,-88.550000,180.000000,bottom
"U26","IC_TLV2474","SOIC-14_3.9x8.7mm_P1.27mm",128.500000,-96.700000,180.000000,bottom
